ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): OHIO

School Name,State Name [Public School] Latest available year,State Name [Public School] 2021-22,School Name [Public School] 2021-22,County Name [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free Lunch Eligible [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,Full-Time Equivalent (FTE) Teachers [Public School] 2021-22
3EA,OHIO,OHIO,3EA,Montgomery County,No,–,–,–,†,0.00
A J JORDAK ELEMENTARY SCHOOL,Ohio,OHIO,A J Jordak Elementary School,Geauga County,Yes participating without using any Provision or the CEO,–,–,–,16.79,19.00
A+ ARTS ACADEMY,Ohio,OHIO,A+ Arts Academy,Franklin County,Yes under Community Eligibility Option (CEO),–,–,–,14.10,39.00
A+ CHILDREN'S ACADEMY,Ohio,OHIO,A+ Children's Academy,Franklin County,Yes under Community Eligibility Option (CEO),–,–,–,11.78,9.00
A. I. ROOT MIDDLE SCHOOL,Ohio,OHIO,A. I. Root Middle School,Medina County,Yes participating without using any Provision or the CEO,–,–,–,16.04,43.76
ABRAHAM DEPP ELEMENTARY,OHIO,OHIO,Abraham Depp Elementary,Union County,Yes participating without using any Provision or the CEO,–,–,–,27.27,27.50
ABRAHAM LINCOLN SCHOOL,Ohio,OHIO,Abraham Lincoln School,Cuyahoga County,Yes under Community Eligibility Option (CEO),–,–,–,20.92,25.00
ACADEMY FOR MULTILINGUAL IMMERSION STUDIES,Ohio,OHIO,Academy for Multilingual Immersion Studies,Hamilton County,Yes under Community Eligibility Option (CEO),–,–,–,19.79,27.94
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OHIO,Academy for Urban Scholars Youngstown,Mahoning County,Yes under Community Eligibility Option (CEO),–,–,–,42.91,5.50
ACADEMY OF WORLD LANGUAGES SCHOOL,Ohio,OHIO,Academy Of World Languages School,Hamilton County,Yes under Community Eligibility Option (CEO),–,–,–,16.50,32.78
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OHIO,Achieve Career Preparatory Academy,Lucas County,Yes under Community Eligibility Option (CEO),–,–,–,12.00,6.50
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,OHIO,AchievePoint Career Academy - Cincinnati,Hamilton County,No,–,–,–,23.13,8.00
ADA BULLDOG ACADEMY,OHIO,OHIO,Ada Bulldog Academy,Hardin County,No,–,–,–,†,0.00
ADA ELEMENTARY SCHOOL,Ohio,OHIO,Ada Elementary School,Hardin County,No,–,–,–,18.19,26.00
ADA HIGH SCHOOL,Ohio,OHIO,Ada High School,Hardin County,Yes participating without using any Provision or the CEO,–,–,–,16.63,24.00
ADAMSVILLE ELEMENTARY SCHOOL,Ohio,OHIO,Adamsville Elementary School,Muskingum County,Yes participating without using any Provision or the CEO,–,–,–,19.67,15.10
ADDAVILLE ELEMENTARY SCHOOL,Ohio,OHIO,Addaville Elementary School,Gallia County,Yes under Community Eligibility Option (CEO),–,–,–,17.58,19.45
ADENA ELEMENTARY SCHOOL,Ohio,OHIO,Adena Elementary School,Butler County,Yes participating without using any Provision or the CEO,–,–,–,24.11,26.50
ADENA ELEMENTARY SCHOOL,Ohio,OHIO,Adena Elementary School,Ross County,Yes participating without using any Provision or the CEO,–,–,–,23.00,20.00
ADENA HIGH SCHOOL,Ohio,OHIO,Adena High School,Ross County,No,–,–,–,20.19,16.00
ADENA MIDDLE SCHOOL,Ohio,OHIO,Adena Middle School,Ross County,No,–,–,–,21.71,17.00
ADLAI STEVENSON SCHOOL,Ohio,OHIO,Adlai Stevenson School,Cuyahoga County,Yes under Community Eligibility Option (CEO),–,–,–,15.40,30.00
ADMIRAL KING ELEMENTARY SCHOOL,Ohio,OHIO,Admiral King Elementary School,Lorain County,Yes under Community Eligibility Option (CEO),–,–,–,14.71,17.00
ADRIAN ELEMENTARY SCHOOL,Ohio,OHIO,Adrian Elementary School,Cuyahoga County,Yes participating without using any Provision or the CEO,–,–,–,14.67,16.50
AIKEN NEW TECH HIGH SCHOOL,Ohio,OHIO,Aiken New Tech High School,Hamilton County,Yes under Community Eligibility Option (CEO),–,–,–,18.07,60.48
AIM ACADEMY @ BELDEN,OHIO,OHIO,AIM Academy @ Belden,Stark County,No,–,–,–,13.93,20.25
AKRON ALTERNATIVE ACADEMY,Ohio,OHIO,Akron Alternative Academy,Summit County,Yes under Community Eligibility Option (CEO),–,–,–,12.82,11.00
AKRON CAREER TECH HIGH SCHOOL,OHIO,OHIO,Akron Career Tech High School,Summit County,Yes participating without using any Provision or the CEO,–,–,–,5.25,5.33
AKRON EARLY COLLEGE HIGH SCHOOL,Ohio,OHIO,Akron Early College High School,Summit County,Yes under Community Eligibility Option (CEO),–,–,–,31.75,12.00
AKRON PREPARATORY SCHOOL,Ohio,OHIO,Akron Preparatory School,Summit County,Yes under Community Eligibility Option (CEO),–,–,–,20.44,18.00
AKRON STEM HIGH SCHOOL,Ohio,OHIO,Akron STEM High School,Summit County,Yes under Community Eligibility Option (CEO),–,–,–,14.86,22.00
AKROS MIDDLE SCHOOL,Ohio,OHIO,Akros Middle School,Summit County,Yes under Community Eligibility Option (CEO),–,–,–,15.77,7.80
ALBERT BUSHNELL HART,Ohio,OHIO,Albert Bushnell Hart,Cuyahoga County,Yes under Community Eligibility Option (CEO),–,–,–,15.47,15.00
ALBERT CHAPMAN ELEMENTARY SCHOOL,Ohio,OHIO,Albert Chapman Elementary School,Franklin County,Yes participating without using any Provision or the CEO,–,–,–,21.60,25.00
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,OHIO,Albert Einstein Academy for Letters Arts and Sciences-Ohio,Cuyahoga County,No,–,–,–,10.19,37.00
ALCOTT ELEMENTARY SCHOOL,Ohio,OHIO,Alcott Elementary School,Delaware County,Yes participating without using any Provision or the CEO,–,–,–,16.57,30.00
ALEXANDER ELEMENTARY SCHOOL,Ohio,OHIO,Alexander Elementary School,Athens County,No,–,–,–,15.28,43.00
ALEXANDER JR. / SR. HIGH SCHOOL,Ohio,OHIO,Alexander Jr. / Sr. High School,Athens County,Yes participating without using any Provision or the CEO,–,–,–,15.22,51.00
ALFRED BENESCH,Ohio,OHIO,Alfred Benesch,Cuyahoga County,No,–,–,–,12.11,19.00
ALLEN EAST ELEMENTARY SCHOOL,Ohio,OHIO,Allen East Elementary School,Allen County,No,–,–,–,17.89,24.70
ALLEN EAST HIGH SCHOOL,Ohio,OHIO,Allen East High School,Allen County,Yes participating without using any Provision or the CEO,–,–,–,16.72,18.00
ALLEN EAST MIDDLE SCHOOL,OHIO,OHIO,Allen East Middle School,Allen County,No,–,–,–,20.80,15.00
ALLIANCE ACADEMY OF CINCINNATI,Ohio,OHIO,Alliance Academy of Cincinnati,Hamilton County,Yes under Community Eligibility Option (CEO),–,–,–,23.61,23.38
ALLIANCE EARLY LEARNING SCHOOL,Ohio,OHIO,Alliance Early Learning School,Stark County,Yes under Community Eligibility Option (CEO),–,–,–,45.28,12.83
ALLIANCE ELEMENTARY SCHOOL AT ROCKHILL,Ohio,OHIO,Alliance Elementary School at Rockhill,Stark County,Yes under Community Eligibility Option (CEO),–,–,–,20.45,20.83
ALLIANCE HIGH SCHOOL,Ohio,OHIO,Alliance High School,Stark County,Yes under Community Eligibility Option (CEO),–,–,–,18.62,52.00
